,fixed_acidity,sugars,chlorides,sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,7.4,1.9,0.076,34,0.9978,3.51,0.56,9.4,5
1,7.8,2.6,0.098,67,0.9968,3.2,0.68,9.8,5
2,7.8,2.3,0.092,54,0.997,3.26,0.65,9.8,5
3,11.2,1.9,0.075,60,0.998,3.16,0.58,9.8,6
4,7.4,1.9,0.076,34,0.9978,3.51,0.56,9.4,5
5,7.4,1.8,0.075,40,0.9978,3.51,0.56,9.4,5
6,7.9,1.6,0.069,59,0.9964,3.3,0.46,9.4,5
7,7.3,1.2,0.065,21,0.9946,3.39,0.47,10.0,7
8,7.8,2.0,0.073,18,0.9968,3.36,0.57,9.5,7
9,7.5,6.1,0.071,102,0.9978,3.35,0.8,10.5,5
10,6.7,1.8,0.09699999999999999,65,0.9959,3.28,0.54,9.2,5
11,7.5,6.1,0.071,102,0.9978,3.35,0.8,10.5,5
12,5.6,1.6,0.08900000000000001,59,0.9943,3.58,0.52,9.9,5
13,7.8,1.6,0.114,29,0.9974,3.26,1.56,9.1,5
14,8.9,3.8,0.17600000000000002,145,0.9986,3.16,0.88,9.2,5
15,8.9,3.9,0.17,148,0.9986,3.17,0.93,9.2,5
16,8.5,1.8,0.092,103,0.9969,3.3,0.75,10.5,7
17,8.1,1.7,0.368,56,0.9968,3.11,1.28,9.3,5
18,7.4,4.4,0.086,29,0.9974,3.38,0.5,9.0,4
19,7.9,1.8,0.341,56,0.9969,3.04,1.08,9.2,6
20,8.9,1.8,0.077,60,0.9968,3.39,0.53,9.4,6
21,7.6,2.3,0.08199999999999999,71,0.9982,3.52,0.65,9.7,5
22,7.9,1.6,0.106,37,0.9966,3.17,0.91,9.5,5
23,8.5,2.3,0.084,67,0.9968,3.17,0.53,9.4,5
24,6.9,2.4,0.085,40,0.9968,3.43,0.63,9.7,6
25,6.3,1.4,0.08,23,0.9955,3.34,0.56,9.3,5
26,7.6,1.8,0.08,11,0.9962,3.28,0.59,9.5,5
27,7.9,1.6,0.106,37,0.9966,3.17,0.91,9.5,5
28,7.1,1.9,0.08,35,0.9972,3.47,0.55,9.4,5
29,7.8,2.0,0.08199999999999999,16,0.9964,3.38,0.59,9.8,6
30,6.7,2.4,0.08900000000000001,82,0.9958,3.35,0.54,10.1,5
31,6.9,2.5,0.105,37,0.9966,3.46,0.57,10.6,6
32,8.3,2.3,0.083,113,0.9966,3.17,0.66,9.8,5
33,6.9,10.7,0.073,83,0.9993,3.45,0.52,9.4,6
34,5.2,1.8,0.10300000000000001,50,0.9957,3.38,0.55,9.2,5
35,7.8,5.5,0.086,18,0.9986,3.4,0.55,9.6,6
36,7.8,2.4,0.086,15,0.9975,3.42,0.6,10.8,6
37,8.1,2.1,0.066,30,0.9968,3.23,0.73,9.7,7
38,5.7,1.5,0.172,19,0.9940000000000001,3.5,0.48,9.8,4
39,7.3,5.9,0.07400000000000001,87,0.9978,3.33,0.83,10.5,5
40,7.3,5.9,0.07400000000000001,87,0.9978,3.33,0.83,10.5,5
41,8.8,2.8,0.08800000000000001,46,0.9976,3.26,0.51,9.3,4
42,7.5,2.6,0.332,14,0.9968,3.21,0.9,10.5,6
43,8.1,2.2,0.069,23,0.9968,3.3,1.2,10.3,5
44,6.8,1.8,0.05,11,0.9962,3.48,0.52,9.5,5
45,4.6,2.1,0.054000000000000006,65,0.9934,3.9,0.56,13.1,4
46,7.7,2.2,0.114,114,0.997,3.25,0.73,9.2,5
47,8.7,1.6,0.113,37,0.9969,3.25,0.58,9.5,5
48,6.4,1.6,0.066,12,0.9958,3.34,0.56,9.2,5
49,5.6,1.4,0.07400000000000001,96,0.9954,3.32,0.58,9.2,5
50,8.8,1.7,0.07400000000000001,23,0.9971,3.15,0.74,9.2,5
51,6.6,2.2,0.069,15,0.9956,3.4,0.63,9.4,6
52,6.6,2.1,0.068,14,0.9955,3.39,0.64,9.4,6
53,8.6,3.0,0.081,119,0.997,3.2,0.56,9.4,5
54,7.6,2.8,0.11,73,0.9955,3.17,0.63,10.2,6
